FID,OID_,Name,Official_N,X,Y,Address,Postal_Cod,Country,Un_Visited,Date_Visit,HDB,United_Tem
194,195,San Bao Fo Guang Si,Lord Buddha Temple,103.8918344,1.3256076,24 Arumugam Road,409963,Singapore,Visited, , ,United Temple
195,196,Zhong Hong Shan Tang Jiu Huang Gong (Lianhe Gong),Cheng Hong Siang Tng Kew Huang Keng,103.8921836,1.3258518,30 Arumugam Road,409966,Singapore,Visited, , ,United Temple
196,197,Ji Shan Miao,Ji Shan Miao,103.8923326,1.358655,56 / 58 / 60 Hougang Avenue 3,538842,Singapore,Visited, , ,United Temple
197,198,Kai Fu Tang,Kai Fu Tang,103.8924828,1.359009,56 / 58 / 60 Hougang Avenue 3,538842,Singapore,Visited, , ,United Temple
198,199,Chao Yun Gong,Chao Yun Gong,103.8927639,1.3588726,56 / 58 / 60 Hougang Avenue 3 Singapore 538841 - 3,538842,Singapore,Visited, , ,United Temple
199,200,Chang Tian Gong,Chang Tien Kong Temple,103.8954104,1.3657837,"109b Hougang Avenue 5, Singapore",538819,Singapore,Visited, , ,United Temple
200,201,Tian De Miao,Tian De Temple,103.8955126,1.3654052,109 / a / b / c Hougang Avenue 5,538817,Singapore, , , ,United Temple
201,202,Tian De Sheng Miao,Tian De Temple,103.8955662,1.3657886,109 Hougang Avenue 5,538817,Singapore,Visited, , ,United Temple
202,203,Placemark, ,103.895408,1.3656063,109 Hougang Ave 5,538817,Singapore,Visited, , ,United Temple
203,204,Placemark, ,103.8957432,1.3656036,109 Hougang Ave 5,538817,Singapore,Visited, , ,United Temple
204,205,Placemark, ,103.8956413,1.3654079,109C Hougang Ave 5,538817,Singapore,Visited, , ,United Temple
205,206,Zhong Tou Gong,Zhong Tou Gong,103.8957436,1.3658018,109c Hougang Avenue 5,538820,Singapore, , , ,United Temple
206,207,Placemark, ,103.895749,1.3654023,109A Hougang Ave 5,538818,Singapore,Visited, , ,United Temple
207,208,Placemark, ,103.8954084,1.3654076,109B Hougang Ave 5,538819,Singapore,Visited, , ,United Temple
208,209,Fu De Gong,Fu De Gong,103.8959985,1.3195523,103 Eunos Road 5,409352,Singapore, , , ,United Temple
209,210,Long Shan Ting,Long Shan Ting,103.8961434,1.3197319,103 Eunos Road 5,409352,Singapore, , , ,United Temple
210,211,Qian Kun Miao,Qian Kun Miao,103.8959717,1.3196971,103 Eunos Road 5,409352,Singapore, , , ,United Temple
211,212,Ya Long Lian He Gong,Geylang United Temple,103.8961809,1.3195871,103 Eunos Road 5,409352,Singapore, , , ,United Temple
212,213,Ban Gang Tian Hou Gong,Kampong Tengah Thian Hou Keng,103.9070121,1.389521,"80 Rivervale Crescent, #01-01",545087,Singapore,Visited, , ,United Temple
213,214,Chong Yi Miao Wan Xin Shan,Chong Ghee Temple,103.907342,1.3893226,"80 Rivervale Crescent, #01-01",545087,Singapore,Visited, , ,United Temple
214,215,Sheng Gang Lianhemiao,Sengkang Joint Temple,103.9071704,1.3890974,"80 Rivervale Crescent, Sengkang New Town",545087,Singapore,Visited, , ,United Temple
215,216,Chong De Shan Tang,Chong De Shan Tang,103.9081172,1.3313616,30 - 32 Bedok Reservoir Road,479231,Singapore, , , ,United Temple
216,217,Yu Hai Tang Guan Yin Jiu Ku Hui,Jee Hai Tung Kwan Imm Welfare Society,103.9079267,1.3311474,30 Bedok Reservoir Road,479231,Singapore, , , , 
217,218,Bang E Lianhemiao,Punggol Joint Temple,103.9153957,1.3924165,3 Tebing Lane,828849,Singapore, , , ,United Temple
218,219,Sheng Jia Miao,Sheng Jia Temple Association,103.9155325,1.3921109,"3 Tebing Lane, Punggol East #01-01",828849,Singapore, , , ,United Temple
219,220,Tian Ci Gong,Society of Love and Compassion,103.9157444,1.3923629,"3 Tebing Lane, Punggol East #01-03",828849,Singapore, , , ,United Temple
220,221,Tian Jun Fu,Tian Jun Temple,103.9154977,1.3925453,"3 Tebing Lane, Punggol East #01-02",828849,Singapore, , , ,United Temple
221,222,Placemark, ,103.9153019,1.3922798,No.3 Tebing Lane #01-01,828849,Singapore, , , ,United Temple
222,223,Cai Shi Lianhegong, ,103.9190531,1.328438,6 Chai Chee Lane,469020,Singapore, , , ,United Temple
223,224,Fu Ling Gong,Hock Leng Keng Temple,103.9191979,1.32843,6 Chai Chee Lane,469020,Singapore,Visited, , ,United Temple
224,225,Fu Shan Ting,Fu Shan Ting,103.9190638,1.3285908,6 Chai Chee Lane,469020,Singapore,Visited, , ,United Temple
225,226,Zhu Yun Gong,Zhu Yun Gong,103.9193159,1.3284246,7 Chai Chee Lane,469020,Singapore,Visited, , ,United Temple
226,227,Placemark, ,103.9193213,1.328564,6 Chai Chee Lane,469020,Singapore,Visited, , ,United Temple
227,228,Na Du Tan Bao An Gong Tian De Gong, ,103.9287398,1.3671963,95 Tampines Link,528745,Singapore, , , ,United Temple
228,229,Nadutan Baoangong Tiandegong,Nadutan Baoangong Tiandegong,103.9285226,1.3670649,95 Tampines Link,528745,Singapore,Visited, , ,United Temple
229,230,Tian De Gong,Tian De Gong Temple,103.9285172,1.3673062,95 Tampines Link #01-03,528745,Singapore,Visited, , ,United Temple
230,231,Xuan Chuan Zong Dao Tang,Hean Thuan Toh Tong Temple,103.9294729,1.3677979,89 Tampines Link,528743,Singapore, , , ,United Temple
231,232,Guang Jin Dian,Guang Jin Dian,103.9385481,1.3555039,"Blk 860A, Tampines Ave 5 #01-623",521860,Singapore, , , ,United Temple
232,233,Shu Tou Bo Gong,Shu Tou Bo Gong,103.9385373,1.355402,"Blk 860A, Tampines Ave 5 #01-623",521860,Singapore, , , ,United Temple
233,234,Gao Lin Gong (Wu Luo),Kuah Na Keng,103.9488682,1.3354789,9 Bedok North Street 5,485875,Singapore, , , ,United Temple
234,235,De Guang Dao Tian Jiang Fo Tang Tai Yang Gong,Pulau Tekong Joint Temple,103.9488317,1.3359681,51 Bedok North Ave 4,469695,Singapore, , , ,United Temple
235,236,Tian Jiang Fo Tang,Tian Kong Buddhist Tp,103.9490034,1.3361022,51 Bedok North Avenue 4,469695,Singapore, , , ,United Temple
236,237,Gao Lin Gong,Kuah Na Keng,103.9491339,1.3354695,"9 Bedok North Street 5, Ave 4.",485875,Singapore,Visited, , ,United Temple
237,238,Jin Ping Si Shan Lian Shan Gong,Chin Pin Tze Temple,103.9488236,1.3353043,"7 Bedok North Street 5, Ave 4.",485874,Singapore,Visited, , ,United Temple
238,239,Shi Lin Jin Shan Lianhegong, ,103.9490864,1.3352801,7 Bedok North Street 5,485874,Singapore,Visited, , ,United Temple
239,240,Fu Quan Si, ,103.9492701,1.3354215,1 Bedok North Street 5,486115,Singapore,Visited, , ,United Temple
240,241,Shui Mei Gong,Chwee Bee Temple / Hock Chuan Temple,103.9492165,1.3355234,1 Bedok North Street 5,486115,Singapore,Visited, , , 
241,242,Shui Mei Gong (Jin Mao Cun),Jin Mao Cun Shui Mei Gong,103.9493828,1.3356146,1 Bedok North Street 5,486115,Singapore, , , ,United Temple
242,243,Shui Mei Gong Fu Quan si Lianhemiao, ,103.9493426,1.335333,Bedok North Street 5,486115,Singapore, , , ,United Temple
243,244,Placemark,Chwee Bee Temple / Hock Chuan Temple,103.9495115,1.3354671,1 Bedok North Street 5,486115,Singapore, , , , 
244,245,Ci Ling Gong,Ci Ling Gong,103.9494926,1.3557676,25 Tampines Street 21,529394,Singapore,Visited, , ,United Temple
245,246,Dan Bin Ni Jiu Li Da bo Gong Miao akaDan Bin Ni Jiu Li Fu De Zheng Shen Miao,Dan Bin Ni Jiu Li Da bo Gong Miao aka Dan Bin Ni Jiu Li Fu De Zheng Shen Miao,103.9497394,1.3556175,25 Tampines Street 21,529394,Singapore, , , , 
246,247,Dan Bin Ni Lianhegong, ,103.9494819,1.3556175,25 Tampines Street 21,529394,Singapore,Visited, , ,United Temple
247,248,Di Wan Da Bo Gong,Di Wan Da Bo Gong,103.9494926,1.3559178,25 Tampines Street 21,529394,Singapore, , , ,United Temple
248,249,Fu An Dian,Fu An Dian,103.9497447,1.3559124,25 Tampines Street 21,529394,Singapore,Visited, , ,United Temple
249,250,Han Yang Da Bo Gong,Han Yang Da Bo Gong,103.9496214,1.3556228,25 Tampines Street 21,529394,Singapore, , , ,United Temple
250,251,Hou Chi Tin aka Pu An Gu Fo,Hou Chi Tin aka Pu An Gu Fo,103.9498574,1.3557784,25 Tampines Street 21,529394,Singapore,Visited, , ,United Temple
251,252,Ji Xing Ting,Kiat Sing Ting,103.9493585,1.3557623,25 Tampines Street 21,529394,Singapore,Visited, , ,United Temple
252,253,Ji Yang Tang,Ji Yang Tang,103.949616,1.3559124,25 Tampines Street 21,529394,Singapore,Visited, , ,United Temple
253,254,Luo Yang Da Bo Gong,Luo Yang Da Bo Gong,103.9493639,1.3556228,25 Tampines Street 21,529394,Singapore, , , ,United Temple
254,255,Luo Yang Tian Gong Tan,Luo Yang Tian Gong Tan,103.9498628,1.3556443,25 Tampines Street 21,529394,Singapore, , , ,United Temple
255,256,Shun Xing Gu Miao,Soon Hin Ko Beo,103.9493585,1.3559017,25 Tampines Street 21,529394,Singapore,Visited, , ,United Temple
256,257,Xin Ba Da Bo Gong,Xin Ba Da Bo Gong,103.9498574,1.3559178,25 Tampines Street 21,529394,Singapore, , , ,United Temple
257,258,Nanyang Neo Clan Association, ,103.8780919,1.3553683,87 Kovan Road Singapore,548176,Singapore, , , ,United Temple
