FID,OID_,Name,Official_N,X,Y,Address,Postal_Cod,Country,Un_Visited,Date_Visit,HDB,United_Tem
70,71,Feng Tu Miao,Hong Tho Bilw Temple,103.7827294,1.4397081,31 Marsiling Industrial Estate Road 3,739255,Singapore,Visited, , ,United Temple
71,72,Ji Gong Tan,Chai Kong Temple,103.7828763,1.4393554,10 Marsiling Industrial Estate Road 3,739254,Singapore, , , ,United Temple
72,73,Shan Di Miao,Shang Di Miao,103.7830131,1.4395217,10 Marsiling Industrial Estate Road 3,739254,Singapore, , , ,United Temple
73,74,Tian Xian Miao,Tian Xian Miao,103.7954405,1.4509051,"19, 21 Woodlands Industrial Park E4",757721,Singapore,Visited, , , 
74,75,Wan Li Lian He Dian,Wan Li Lian He Dian,103.7958081,1.4508412,19 Woodlands Industrial Park E7,757721,Singapore,Visited, , ,United Temple
75,76,Qian Fu lv Tian Gong Tan,Tian Gong Tan Temple,103.8407102,1.3576949,"101A Sin Min Industrial Estate, Sin Ming Rd",575593,Singapore,Visited, , ,United Temple
76,77,Jin Fu Gong Gong De Tang (Woodlands),"Jin Fu Gong Temple (Woodlands, Branch, Gong De Tang)",103.8007773,1.4528313,9 Woodlands Industrial Park E8,757786,Singapore, , , ,United Temple
77,78,Qing Shui Miao Dong Sheng Dian,Chin Chwee Temple,103.8004354,1.4526632,"11 Woodlands Industrial Park E8, # 01 - 03",757701,Singapore,Visited, , ,United Temple
78,79,Tian Zhu Miao,Tain Chor Temple,103.8008726,1.4526847,"11 Woodlands Industrial Park E8, # 01 - 01",757701,Singapore,Visited, , ,United Temple
79,80,Wu Dang Shan Miao (Wu Lan),Boo Tong San Temple,103.8009316,1.4525104,"11 Woodlands Industrial Park E8, # 01 - 02",757701,Singapore,Visited, , ,United Temple
80,81,Wu Lan Lian He Miao,Woodlands Lian Sheng Miao,103.8005641,1.4523388,11 Woodlands Industrial Park E8,757701,Singapore,Visited, , ,United Temple
81,82,Guang Fu Gong Lianhemiao, ,103.8071539,1.2744436,101 Telok Blangah Drive,109260,Singapore,Visited, , ,United Temple
82,83,Guang Fu Gong,Guang Fu Gong,103.8074407,1.2743278,101 Telok Blangah Drive,109260,Singapore,Visited, , ,United Temple
83,84,Lian Feng Si,Lian Feng Si,103.8074314,1.2744506,101 Telok Blangah Drive,109260,Singapore,Visited, , ,United Temple
84,85,San Ba Wang Cai Shen Miao,Sembawang God of Wealth Temple,103.811053,1.4607172,28 Admiralty Street,757611,Singapore,Visited, , ,United Temple
85,86,San Ba Wang Tian Yun Dian Cai Shen Miao,Sembawang Tian Hoon Tien (God of Wealth Temple),103.8109645,1.4608647,28 Admiralty Street,757611,Singapore,Visited, , ,United Temple
86,87,San Ba Wang Lianhegong, ,103.8113409,1.4610305,24/26/28 Admiralty Street,757611,Singapore, , , ,United Temple
87,88,Peng Lai Dian,Peng Lai Dian,103.8113947,1.4608856,26 Admiralty Street,757613,Singapore, , , ,United Temple
88,89,Placemark,Bao Gong Temple,103.8115047,1.4610947,26 Admiralty St,757613,Singapore, , , ,United Temple
89,90,San Ba Wang Tian Hou Gong,Sembawang Tian Ho Keng,103.811573,1.4609603,24 Admiralty Street,747612,Singapore,Visited, , ,United Temple
90,91,Jie Gu Dian,Chin Leng Keng Kai Kok Tian,103.8163986,1.2863197,98T Redhill Close,158900,Singapore, , , ,United Temple
91,92,Long Shan Ting,Long Shan Ting,103.8162444,1.2862138,98T Redhill Close,158900,Singapore, , , ,United Temple
92,93,Wan Xian Miao,Wan Xian Miao (Ban Sien Temple),103.8164053,1.286132,98T Redhill Close,158900,Singapore, , , ,United Temple
93,94,Zhen Long Gong, ,103.8163235,1.2863519,98T Redhill Close,158900,Singapore,Visited, , ,United Temple
94,95,Zhen Ren Gong,Chin Leng Keng Chinese Temple,103.8164818,1.2862848,98T Redhill Close,158900,Singapore,Visited, , ,United Temple
95,96,Cheng Bang Da Bo Gong Gong,Seng Pang Tua Pek Kong Keng,103.8280796,1.4337547,475 Yishun Ring Road,768678,Singapore,Visited, , ,United Temple
96,97,He Bi Shan Gong,He Bi Shan Gong,103.8281466,1.4339182,475 Yishun Ring Road,768678,Singapore, , , ,United Temple
97,98,Nan Feng Shan Tang,Nam Hong Siang Theon,103.8282432,1.43376,475 Yishun Ring Road,768678,Singapore,Visited, , ,United Temple
98,99,Tai Yang Gong,Tai Yeong Kon Temple,103.8289155,1.2775921,85A Silat Road,168851,Singapore,Visited, , ,United Temple
99,100,Zheng Long Gong Xuan Jiang Dian,Chia Leng Kong Heng Kang Tian,103.8286929,1.2774969,85a Silat Road,168851,Singapore,Visited, , ,United Temple
100,101,Guan Di Miao,Kwang Tee Temple,103.8325434,1.434791,"561 Yishun Ring Road , #01-04",768682,Singapore,Visited, , ,United Temple
101,102,Hua Bao Shan Tang,Hwa Poh Siang Tng,103.8327956,1.4348742,"561 Yishun Ring Road, #01-01",768682,Singapore,Visited, , ,United Temple
102,103,Jing Shui Gang Dou Mu Gong Feng Shan Si,Hong San See Temple / Kew Ong Yah Temple aka Jiazhuikang Kew Ong Yah Temple Hong San See Temple,103.83264,1.4347133,"561 Yishun Ring Road , #01-02 & #01-03",768682,Singapore,Visited, , , 
