X,Y,NUMBER,NAME,CH-NAME,STREET (SI,ST-Number,SCOPE OF B,Phone,Cable addr,Registered,Capital,Proprietor,CH-Proprie,Telegraphi,Other Note,Page in Di,
103.843684,1.296901968,12677,K. THANGAYAH,陳牙亞,Clemencean Avenue,149,Sundries Retailers,NA,NA,1948,NA,K. Thangayah,,,,995,
103.8439178,1.297774177,9917,REDIFFUSION (SINGAPORE) LTD.,有線播音公司,Clemenceau Avenue,182,Broadcast Relay Service,NA,NA,NA,"$500,000",Directors: Herbert Cecil Reilly,,,,762,
103.8436406,1.297635601,6150,KONG NGEE FILM CO.,光藝影業公司,Clemenceau Avenue,185,Film Distributors and Exhibitors,2140,"""HOTRADING""",1945,NA,Managing Partner: Ho Khee Yong,何啓榮,,,462,
103.8403248,1.303472059,2655,EASTERN COIL WINDER,東方無線電公司,Clemenceau Avenue,309,Coil Winding & Radio Servicing,NA,NA,1948,NA,Low Choon Lye,劉春來,,,192,
103.8400666,1.304189388,1473,CHENG MENG FURNITURE CO.,承民木器公司,Clemenceau Avenue,329,Furniture Makers,NA,NA,1939,NA,Choo Cheng Meng,朱承民,,,108,
103.8502618,1.291738896,211,ADELPHI HAIR DRESSING SALOON,亞德菲理髮,Coleman Street,1,Barbers,NA,NA,1941,NA,Wu Tow Seng,伍清道,,,23,
103.8502002,1.291754282,358,ALLIED DISPENSARY,國際西藥房,Coleman Street,3,Dispensary,82634,NA,1947,NA,Siow Keng Ngoh,蕭憬我,,,33,
103.8502035,1.291769668,6984,LEE SHENG SPORTING GOODS CO.,利生運動用品公司,Coleman Street,3,Sporting Goods Dealers,NA,NA,1931,NA,Chang Hsiao Peng,張笑彭,,,527,
103.8502043,1.291735657,7022,LEN TONG BARBER,聯東理髮店,Coleman Street,3,Hair Dressing,NA,NA,1942,NA,Chiang Khia See,張家緖,,,530,
103.8501646,1.291785864,7321,LIM CHEW HOW & CO.,林少豪洋行,Coleman Street,3,"Flavouring Essences, Essential Oils & Aerated Water Etc.",2942,NA,1947,NA,Lim Chew How,林少豪,,,553,
103.8501678,1.291744565,7841,MALAYAN (TERMITE) CO.,馬來亞（專滅白蟻）公司,Coleman Street,3,Termite Extermination Contractor,NA,NA,1948,NA,Huang Kuo Ching,黃國欽,,,596,
103.8501694,1.291792342,10003,ROYAL STUDIO,國華影室,Coleman Street,3,Photographers,NA,NA,1948,NA,Teo Wee Seng,張瑋生,,,769,
103.8502261,1.291764,11428,SONG THYE HENG,松泰興,Coleman Street,3,"Importers, Exporters and General Merchants",NA,NA,1948,NA,Lim Chew How,林少豪,,,893,
103.8502188,1.291754282,11625,THE SOUTHSEAS CULTURAL CORPORATION.,南海出版公司,Coleman Street,3,Publishing House,NA,NA,1947,NA,Wang Hai Hsias,,,,909,
103.8499878,1.291897447,2118,CHOON KEE PRESS,全記印務館,Coleman Street,4,Printers and Stationers,6855,NA,1934,NA,Wong Weng Poh,黃榮波,,,151,
