NUMBER,NAME,CH-NAME,STREET (SI,ST-Number,SCOPE OF B,Phone,Cable addr,Registered,Capital,Proprietor,CH-Proprie,Telegraphi,Other Note,Page in Di,X,Y
"8991",CHOP NEO HUAT HIN,梁發興,Boat Quay,"107",Cattle Foodstuff and Rice Merchants,NA,NA,"1946",NA,Neo Koon Tho,梁昆托,,,"689",103.851250600000000,1.285635917000000
"12748",THONG HIN & CO.,通興公司,Boat Quay,"108",Importers and Foodstuffs Merchants,"7650",NA,"1931",NA,Ong Hoo Ong,王富翁,,,"1000",103.851250600000000,1.285635917000000
"1703",CHOP CHIA HONG,正豐號,Boat Quay,"110",Cattle Fodder Dealers,NA,NA,"1946",NA,Sim Loy Boon,沈禮文,,,"125",103.851250600000000,1.285635917000000
"14185",YEWAH & CO.,有和公司,Boat Quay,"110","Importers, Exporters and Dealers in Sundries",NA,NA,"1947",NA,Sim Kwang Chia,沈觀正,,,"1121",103.851250600000000,1.285635917000000
"11992",SZE TECK TNG,世德堂,"Boat Quay, 2nd floor","110",Making Chinese Medicines,NA,NA,"1947",NA,Seow Cher Chek,蕭之一,,,"939",103.851250600000000,1.285635917000000
"14011",CHOP YAK SENG HENG,益成興號,Boat Quay,"113",Wholesale Fish Merchants,NA,NA,"1945",NA,Heng Teng Siak,王廷錫,,,"1109",103.851250600000000,1.285635917000000
"7192",LIAN KEE & CO.,亮記公司,Boat Quay,"115","Importers and Exporters, Shipping Agents and Fish Merchants","2363",NA,"1938",NA,Lee Chin Tong,李振東,,,"543",103.851250600000000,1.285635917000000
"14264",YONG BAN GUAN,永萬源,Boat Quay,"116",Importers and Exporters,NA,NA,"1900",NA,Ng Sai Cher,黃賽芝,,,"1127",103.851250600000000,1.285635917000000
"8190",MOH SHING CO.,茂盛公司,Boat Quay,"118","General Importers, Exporters and Dealers in Rice, etc.","7064",NA,"1946",NA,Neo Khoon Thok,梁昆托,,,"622",103.851250600000000,1.285635917000000
"2027",CHNG HUA SENG,莊和成,Boat Quay,"121","Importers, Exporters and Fish Wholesale Merchants","4846",NA,"1930",NA,Chng Song Thiam,莊宋添,,,"145",103.851250600000000,1.285635917000000
"4681",HUA SIANG,和祥號,Boat Quay,"122","Rubber, Imports, Exports and Commission Agents",NA,NA,"1946",NA,Yeo Siu Yong,姚修勇,,,"344",103.851250600000000,1.285635917000000
"7530",LONG HUAT HUP KEE,隆發合記,Boat Quay,"122","Importers, Exporters and Commission Agents",NA,NA,"1947",NA,Koh Chin Koh (Koh Seow Guk),許振國（許少岳）,,,"568",103.851250600000000,1.285635917000000
"14589",LONG HUAT HUP KEE,隆發合記,Boat Quay,"122","Importers, Exporters and Commission Agents",NA,NA,"1947",NA,Chan Sze Ching,曾賜深,,,"1160",103.851250600000000,1.285635917000000
"14287",YONG HENG LEE,榮興利,Boat Quay,"123",Importers and Exporters of Copra,NA,NA,"1933",NA,Koh Cher Kwee,許慈貴,,,"1129",103.851250600000000,1.285635917000000
"14375",YONG TECK HONG,養德榮,Boat Quay,"123","Importers and Exporters, and Commission Agents","7715",NA,"1924",NA,Koh Cher Kwee,許慈貴,,,"1136",103.851250600000000,1.285635917000000
"1995",CHOP CHIP HONG HAK KEE,集豐合記,Boat Quay,"125","Fish Dealers, Importers and Exporters","4259",NA,"1945",NA,Tan Hor Kwang,陳鶴光,,,"143",103.851250600000000,1.285635917000000
"3547",GUAN HUAT LEE TIAN KEE,源發利庭記,Boat Quay,"125",Remittances,NA,NA,"1946",NA,Chan Chek Meng,曾一鳴,,,"255",103.851250600000000,1.285635917000000
"13092",TONG HOCK CO.,同福公司,Boat Quay,"125","Importers and Exporters, Dealers in Sundries and Provisions",NA,NA,"1948",NA,Madam Lee Seok Cheng,李淑清,,,"1028",103.851250600000000,1.285635917000000
"4914",HWA KEE,和記,Boat Quay,"126",Liquor Shop,NA,NA,"1913",NA,Chng Nghee Huat,莊義發,,,"361",103.851250600000000,1.285635917000000
"13257",TUNG FOH TONG,東和當,Boat Quay,"127",Pawnshop,NA,NA,"1947",NA,Chew Lan Kai,周蘭階,,,"1040",103.851250600000000,1.285635917000000
"12138",TAI THONG & CO.,大通公司,Boat Quay,"128",Sundries Retailers,"4012",NA,"1940",NA,Ng Sze Shin,吳世馨,,,"953",103.851250600000000,1.285635917000000
"14023",YAN OI CHAN HING KEE,仁愛棧聲記,Boat Quay,"128",Chinese Druggists,"4012",NA,"1927",NA,Ng Si Hing,吳世馨,,,"1110",103.851250600000000,1.285635917000000
"1156",CHOP BUAN SOON SENG,萬順成,Boat Quay,"129",Remittance Agents,NA,NA,"1948",NA,Koh Eng Chin,許應貞,,,"87",103.851250600000000,1.285635917000000
"1435",CHOP CHEK TENG,齋亭號,Boat Quay,"129","Import, Export and General Merchants",NA,NA,"1947",NA,Teo Chiang Hang,張長漢,,,"106",103.851250600000000,1.285635917000000
"5598",CHOP KHENG GUAN HENG,慶源興,Boat Quay,"129",Sundries and Provisions Retailers,NA,NA,"1941",NA,Tan Keng Hee,陳景禧,,,"422",103.851250600000000,1.285635917000000
"11471",SOON HENG LONG,順興隆,Boat Quay,"130",Hardware Merchants,NA,NA,"1946",NA,Lee Yeow Kwang,李耀光,,,"897",103.851250600000000,1.285635917000000
"4672",HUA MONG ANN KEE,華茂安記,Boat Quay,"131","General Importers, Exporters and Commission Agents",NA,NA,"1917",NA,Lim Piak Hui,林碧輝,,,"343",103.851250600000000,1.285635917000000
"7315",LIM ANN TONG,林安東,Boat Quay,"131",Ground Nuts and Coconuts Dealers,NA,NA,"1942",NA,Lim Ann How,林安灝,,,"552",103.851250600000000,1.285635917000000
"10934",SIN HUP LEE,新合利,Boat Quay,"132","Rope, Paint and Hardware Merchants","2725",NA,"1946",NA,Tan Teck Neo,陳德娘,,,"853",103.851250600000000,1.285635917000000
"14344",YONG NGIAP HUNG,榮業行,Boat Quay,"133","Provisions and Sundries, Liquor Dealers","4349",NA,"1942",NA,Lee Yeow Kwong,李彩光,,,"1133",103.851250600000000,1.285635917000000
"4074",HIN THYE,興泰號,Boat Quay,"134",Salt Merchants,"3234",NA,"1947",NA,Khoo Chee Leong,邱志良,,,"301",103.851250600000000,1.285635917000000
"4076",CHOP HIN WHO,興和號,Boat Quay,"134",Salt Merchants,NA,NA,"1933",NA,Wong Kok Wah,黃國華,,,"301",103.851250600000000,1.285635917000000
"13260",TUNG KEE CONSTRUCTION CO.,同記建築公司,Boat Quay,"134",Building Contractors,NA,NA,"1946",NA,Ng Wai Ngoh,伍煒岳,,,"1041",103.851250600000000,1.285635917000000
"13261",TUNG KEE CONSTRUCTION CO.,同記建築公司,Boat Quay,"134",Construction and General Building,NA,NA,"1948",NA,Kwan Chen Wing,關正榮,,,"1041",103.851250600000000,1.285635917000000
"3706",CHOP HAK HUAT,合發號,Boat Quay,"135",Clog Makers,NA,NA,"1938",NA,Teo Kiok Jin,張克仁,,,"275",103.851250600000000,1.285635917000000
"6138",KONG LEE & CO.,公利公司,Boat Quay,"137",Rice and Provisions Retailers,"80476",NA,"1947",NA,Tan Yong Luan,陳永鑾,,,"461",103.851250600000000,1.285635917000000
"6131",KONG HUAT,公發號,Boat Quay,"138",Sundries Retailers,NA,NA,"1939",NA,Chua Yong Saik,蔡永錫,,,"460",103.851250600000000,1.285635917000000
