NUMBER,NAME,CH-NAME,STREET (SI,ST-Number,SCOPE OF B,Phone,Cable addr,Registered,Capital,Proprietor,CH-Proprie,Telegraphi,Other Note,Page in Di,X,Y
"9104",NG NGEE CHEW CHOP TAI HENG,黃宜就商號大興,Boat Quay,"42","Importers, Exporters and Commission Agents",NA,NA,"1947",NA,Ng Ngee Chew,黃宜就,,,"698",103.851250600000000,1.285635917000000
"1316",CHAN TONG & COMPANY,壯中公司,Boat Quay,"43",General Merchants,"80871",“CHANRUBCO.”,"1948",NA,Partners: C. T. Lee,,,,"98",103.851250600000000,1.285635917000000
"10261",SEN LOONG & CO.,信隆公司,Boat Quay,"43",Importers and Exporters and Commission Agents,NA,NA,"1947",NA,Ang Say Pheow,翁細標,,,"801",103.851250600000000,1.285635917000000
"2698",THE EASTERN TRADERS,東方貿易公司,Boat Quay,"44","Importers and Exporters, Hardware Dealers","6957",NA,"1946",NA,Tan Quee Phuan,陳貴潘,,,"196",103.851250600000000,1.285635917000000
"2194",CHOP CHUA GUAN HONG,蔡源豐號,Boat Quay,"45",Rubber and General Merchants,"2159",NA,"1929",NA,Chua Ho San,蔡河珊,,,"155",103.851250600000000,1.285635917000000
"7089",LEONG SENG & CO.,隆盛公司,Boat Quay,"48","Importers, Exporters and Commission Agents","80466",NA,"1945",NA,Lim Peng Teng,林邦呈,,,"534",103.851250600000000,1.285635917000000
"1558",CHER HAK & CO.,之合公司,Boat Quay,"51","Importers, Exporters, Commission Agents and Rubber Merchants","4301",NA,"1946",NA,Yeo Teck Mong,楊德茂,,,"113",103.851250600000000,1.285635917000000
"2757",CHOP EK LIONG HIN,益隆興,Boat Quay,"52",Importers and Exporters,"2506",NA,"1932",NA,Thio Soen Tioe,張順疇,,,"199",103.851250600000000,1.285635917000000
"2758",EK LIONG HIN LTD.,益隆興有限公司,Boat Quay,"52",General Importers and Exporters,NA,NA,"1948","$2,000,000",Thio Soen Tioe,,,,"200",103.851250600000000,1.285635917000000
"3224",CHOP GE SING KONGSI,義成公司,Boat Quay,"52",Importers and Exporters,"80470",NA,"1944",NA,Oeij Teng Piaoe,黃定標,,,"234",103.851250600000000,1.285635917000000
"1879",CHIN NAM & CO.,振南公司,Boat Quay,"53","Importers, Exporters and Commission Agents","83309",NA,"1943",NA,Quek Cher Chee,郭之志,,,"136",103.851250600000000,1.285635917000000
"1884",CHIN NAM HUA KEE,振南和記,Boat Quay,"53","Imports, Exports & Shipping Agency","83309",NA,"1948",NA,Kwek Cher Chee,郭之志,,,"136",103.851250600000000,1.285635917000000
"7442",J. H. LIONG & CO.,梁公司,Boat Quay,"53",General Merchants and Shipping Agents,NA,NA,"1948",NA,Liong Jiaw Hiong,梁耀香,,,"562",103.851250600000000,1.285635917000000
"9542",CHOP PENG WHATT & CO.,炳發公司,Boat Quay,"53","Importers, Exporters and Commission Agents","7568",NA,"1940",NA,Madam Kwek Kin Noi,郭錦蓮,,,"732",103.851250600000000,1.285635917000000
"6754",LAM SENG HONG,南成豐號,Boat Quay,"54",Importers and Exporters,"4166",NA,"1946",NA,Quek Yong Peng,郭永平,,,"510",103.851250600000000,1.285635917000000
"10367",SENG HUAT GENERAL MERCHANT,成發商行,Boat Quay,"54","Fish Merchants, Importers and Exporters",NA,NA,"1945",NA,Goh Ah Hai,吳亞海,,,"809",103.851250600000000,1.285635917000000
"11499",SOON HUAT & CO.,順發公司,Boat Quay,54-A,Lighter and Labour Suppliers,"3427",NA,"1947",NA,Manager: K. N. Siong,,,,"899",103.851250600000000,1.285635917000000
"274",AIK CHIANG SIEW KEE & CO.,億昌紹記公司,Boat Quay,"55",Importers and Exporters,"82650",NA,"1947",NA,Heng Thong Swee,王通水,,,"27",103.851250600000000,1.285635917000000
"5982",CHOP KIM SENG HIN OIL MILLS,金成興油較,Boat Quay,"55",Cocoanut Oil Manufacturers,NA,NA,"1947",NA,Hoe Seng Huat,何成發,,,"450",103.851250600000000,1.285635917000000
"6160",KONG SENG CHAN,公成棧,Boat Quay,"55",Rubber Commission Agents,"6689",NA,"1923",NA,Tay Heow Hong,鄭曉峯,,,"462",103.851250600000000,1.285635917000000
"14144",YEOW KEE & CO.,耀記公司,Boat Quay,"55",Rubber General Commission Agents,"82072",NA,"1945",NA,Tan Keng Yeow,,,,"1118",103.851250600000000,1.285635917000000
"7598",LOW YONG CHIANG. LTD.,劉榮章,Boat Quay,No. 57,Fish Dealers,"6739",NA,"1941","$150,000",Directors: Low Peng Ser,,,,"573",103.851250600000000,1.285635917000000
"1830",CHIN HOCK CHIANG & CO.,振福昌公司,Boat Quay,"58",Rubber Merchants and Commission Agents,"3140",NA,"1911",NA,Lim Boon Teck,林文德,,,"133",103.851250600000000,1.285635917000000
"5747",KIAN HIN & CO.,建興公司,Boat Quay,"62",Commission Agents & Bill Collectors,"83001",NA,"1948",NA,Gwee On Nua,魏烏欄,,,"432",103.851250600000000,1.285635917000000
"11472",SOON HENG SHIPPING CO.,順興船務公司,Boat Quay,"62",Shipping Business for Cargo and Passengers,NA,NA,"1948",NA,Gwee On Nua,魏烏欄,,,"897",103.851250600000000,1.285635917000000
"14122",YEO KWANG YAK,楊廣益,Boat Quay,"64",Importers and Exporters and Commission Agents,NA,NA,"1947",NA,Yeo Guan Sian,楊元善,,,"1117",103.851250600000000,1.285635917000000
"1149",BUAN JOO HONG & CO.,萬裕豐公司,Boat Quay,"66",Imports and Exports Merchants,"6929",NA,"1947",NA,Seow Theng Chye,蕭廷材,,,"87",103.851250600000000,1.285635917000000
"3201",GAN CHONG BIN & CO. LTD.,顏宗敏有限公司,Boat Quay,"66",General Merchants,NA,NA,"1946","£500,000",Gam Chong Bin,,,,"232",103.851250600000000,1.285635917000000
"3390",GOODEAL & CO.,利川公司,Boat Quay,"66",Merchants and Commission Agents,NA,NA,"1947",NA,Nah Yong Liam,藍永廉,,,"245",103.851250600000000,1.285635917000000
"5581",CHOP KHEE HONG,啓豐號,Boat Quay,"66",Rubber & General Produce Merchants,"6929",NA,"1945",NA,Tan Khee Kiah,陳啓經,,,"420",103.851250600000000,1.285635917000000
"13375",UNITED OVERSEA TRADING CO.,聯僑貿易公司,Boat Quay,"66",Importers and Exporters,NA,NA,NA,NA,Nah Yong Liam,藍永虏,,,"1053",103.851250600000000,1.285635917000000
"12526",CHOP TECK SENG,薛德成,Boat Quay,"67","General Importers, Exporters and Commission Agents","2361",NA,"1936",NA,Seet Hee Khoon,,,,"983",103.851250600000000,1.285635917000000
"3493",GUAN HENG & CO.,元亨公司,Boat Quay,"68",Commission Agents,"6193",NA,"1946",NA,Chia Kee Chiang,繼昌謝,,,"252",103.851250600000000,1.285635917000000
"6580",CHOP KWONG TECK SENG,光德成號,Boat Quay,"69",Importer and Exporter and Commission Agents,"3463",NA,"1948",NA,Sim Cheng Guan,沈清源,,,"493",103.851250600000000,1.285635917000000
"5945",CHOP KIM LEE SENG KEE,錦利盛記,Boat Quay,"71","Importers, Exporters, Commission Agents","4423",NA,"1946",NA,Soh Piak Yeow,蘇壁耀,,,"447",103.851250600000000,1.285635917000000
"2174",CHU GUAN TRADING CO.,聚源貿易公司,Boat Quay,"72",General Merchants Importers and Exporters,"6801",NA,"1948",NA,Ong Hee Thia,王輝廳,,,"154",103.851250600000000,1.285635917000000
"10704",SIM & CO.,森公司,Boat Quay,"72",General Merchants and Commission Agents,"6801",NA,"1947",NA,Teo Kim Choon,趙金春,,,"835",103.851250600000000,1.285635917000000
"11468",SOON HAK HENG,順合興,Boat Quay,"72","Importers, Exporters and Commission Agents",NA,NA,"1947",NA,Lamyong Saralamp,,,,"896",103.851250600000000,1.285635917000000
"8602",CHOP NAH WEE HENG,藍偉興,Boat Quay,"74","Rice Importers, Exporters, General Commission and Shipping Agents","2259",NA,"1920",NA,Nah Wee Liat,藍偉烈,,,"658",103.851250600000000,1.285635917000000
