NUMBER,NAME,CH-NAME,STREET (SI,ST-Number,SCOPE OF B,Phone,Cable addr,Registered,Capital,Proprietor,CH-Proprie,Telegraphi,Other Note,Page in Di,X,Y
"10605",SHINFU & CO.,信孚洋行,Winchester House,Room 20,"Importer, Exporter and General Merchants",NA,NA,"1946",NA,Goh Hood Shim,吳佛心,,,"827",103.851782799999995,1.284384842000000
"11909",SWEE CHUAN TRADING CO.,瑞泉貿易公司,Winchester House,"26","General Merchants, Importers Exporters and Maufacturers Representative",NA,NA,"1947",NA,Ong Chin Kow,王振教,,,"933",103.851782799999995,1.284384842000000
"11996",TA KUNG PAU,大公報,Winchester House,"28",Newspaper Publishers,"80201",NA,"1946",NA,Hu Cheng Chih,胡 政之,,,"942",103.851782799999995,1.284384842000000
"12620",TEO HOCK BENG & CO.,趙福明公司,Winchester House,"31",Insurance Agents,"6952",NA,"1940",NA,Teo Geok Peck,趙玉璧,,,"990",103.851782799999995,1.284384842000000
"12738",THONG FOONG KOON,湯鴻坤,Winchester House,"45",House Agents,"6884",NA,"1940",NA,Thoong Foong Koon,湯鴻坤,,,"999",103.851782799999995,1.284384842000000
"13295",UNEEDUS SUPPLY AGENCY,安尼配给代理商,Winchester House,"31",Importers and Exporters,NA,NA,"1945",NA,Quah Kim Hock,柯金福,,,"1046",103.851782799999995,1.284384842000000
"13485",VEYNA SUPPIAH & SONS,里那沙吧父子公司,Winchester House,"21",Tongkang Owners and Lighterage Contractors,"2683",NA,"1947",NA,V. S. Kuppusamy,,,,"1063",103.851782799999995,1.284384842000000
"13700",WATT & CO.,發公司,Winchester House,21/20,Contractors and Merchants,NA,NA,"1947",NA,James Alfred Parker,,,,"1083",103.851782799999995,1.284384842000000
"14644",E. C. SEAH & SON,佘父子公司,Winchester House,"42",Architects,"4990",NA,"1947",NA,Seah Eng Choe,,,,"1165",103.851782799999995,1.284384842000000
"4655",HUA CHUAN TRADING CO.,華權貿易公司,Winchester House (1st floor),Room No. 27,Import and Export Merchants,"2563",“TRAHUA”,"1946",NA,Lim Nio Khuan,林良權,,,"342",103.851782799999995,1.284384842000000
"4684",HUA SIANG STEAMSHIP CO.,華商輸船公司,"Winchester House 1st floor, Collyer Quay","16",Shipping,"7857",“GOODSHIP”,"1926",NA,Chan Cheng Kum,曾清鑑,,,"344",103.851782799999995,1.284384842000000
"2616",DUPLEIX & MEHTER BROS.,趙比勒兄弟公司,Winchester House Collyer Quay,"60","Importers & Exporters, Manufacturers Representatives and Commission Agents",NA,NA,"1939",NA,Yaccob Ebrahim Dooply,,,,"189",103.851782799999995,1.284384842000000
"10168","THE SCIENTIFIC INSTRUMENT CO., LTD.",沙英弟菲有限公司,Winchester House Collyer Quay,"35",Dealers in Scientific Instruments,"6874",NA,"1937","$100,000",Directors: Frederick Stanley Wood,,,,"793",103.851782799999995,1.284384842000000
"4713",HUAY SUN,滙山號,"Winchester House, 2nd floor","47","Stevedoring Coal, General Cargo, Commission Agents, etc.","4714",NA,"1947",NA,Chia Chan Tok,謝讚讀,,,"346",103.851782799999995,1.284384842000000
"1055",BOLTER & SIMON,保特西門公司,"Winchester House, Collyer Quay","50",General Importers and Exporters,"6522",NA,"1946",NA,Joyce Bolter,,,,"80",103.851782799999995,1.284384842000000
"1438",K. CHELLARAM & SONS (FAR EAST) LIMITED,志那蘭父子公司,"Winchester House, Collyer Quay","22",Cotton Merchants,NA,NA,"1946","$2,000,000",K. Shewakram,,,,"106",103.851782799999995,1.284384842000000
"1456","CHENG CHIANG TRADING CO., LTD.",澄江贸易公司,"Winchester House, Collyer Quay","48","Importers and Exporters, and General Merchants",NA,NA,"1947","$1,000,000",Kok Hoong,,,,"107",103.851782799999995,1.284384842000000
"1487",CHENG TRADING CO.,振利貿易公司,"Winchester House, Collyer Quay","16","Paper Importers, Exporters and General Merchants","6818","""CHENTRACO.""","1946",NA,Cheng Chin Kun,鄭鎮崑,,,"109",103.851782799999995,1.284384842000000
"2562",DE SOUZA BROTHERS,智蘇沙兄弟公司,"Winchester House, Collyer Quay","42",Importers and Exporters,"82124",NA,NA,NA,Herbert Humphrey De Souza,,,,"185",103.851782799999995,1.284384842000000
"2618",DURHAM TRADERS LIMITED,德罕貿易有限公司,"Winchester House, Collyer Quay",Room 48,"Engineers, Contractors and General Merchants",NA,NA,"1948","$500,000",David Durham West,,,,"189",103.851782799999995,1.284384842000000
"2626",E LONG & CO.,易良公司,"Winchester House, Collyer Quay","19",Importers and Manufacturers' Representatives,"4464",NA,"1937",NA,Edward Leong,,,,"190",103.851782799999995,1.284384842000000
"3265",THE GENERAL TRADING COMPANY,普通貿易公司,"Winchester House, Collyer Quay","50",Textiles,NA,NA,"1948",NA,Hotchand S/O Jawharmal,,,,"237",103.851782799999995,1.284384842000000
"4246",HOCK HIN & CO.,福興公司,"Winchester House, Collyer Quay","37",Rubber Brokers,"3491",NA,"1946",NA,Lim Tian Lye,林天來,,,"314",103.851782799999995,1.284384842000000
"5120",JAY TRADING COMPANY,查貿易公司,"Winchester House, Collyer Quay","8",General Trading & Merchants,NA,NA,"1948",NA,Rennie Hugh Jones,,,,"381",103.851782799999995,1.284384842000000
"7609",LUCERNA CO.,若絲那公司,"Winchester House, Collyer Quay","11",General Merchants,"82151",NA,"1941",NA,Lau Chon Poh,劉松波,,,"574",103.851782799999995,1.284384842000000
"7765",MALAYA FILM SERVICE,馬來亞影業公司,"Winchester House, Collyer Quay","16","Cinematograph, Film Distrubtors and Exhibitors","82060",“MAFIL.”,"1946",NA,Ong Chin Kun,王振好,,,"589",103.851782799999995,1.284384842000000
"7811",MALAYAN IMPEX & CO.,馬來亞英伯公司,"Winchester House, Collyer Quay","22",Import & Export and Booking Orders,"7753",NA,"1948",NA,Shiv Nath Rai S/O Diwan Chand,,,,"593",103.851782799999995,1.284384842000000
"7921",MARINE SUPPLY CO.,馬仁配給公司,"Winchester House, Collyer Quay","31",Ship Chandlers and General Merchants,"7046",NA,"1946",NA,Tay Cheng Seng,鄭增城,,,"602",103.851782799999995,1.284384842000000
"8089",MILLINGTON LIMITED,麥玲登有限公司,"Winchester House, Collyer Quay",,Advertising Practitioners,"6602",“MILLADVERT.”,"1938","H.K. $361,180.49",Directors: J. W. Morcher,,,Inc. in Hongkong,"615",103.851782799999995,1.284384842000000
"8485",MORRISON TRADING CO.,摩里遜貿易公司,"Winchester House, Collyer Quay","33",Commission Agents in Fresh Fruits and Vegetables,NA,NA,"1946",NA,Manasseh Silas Reuben,,,,"645",103.851782799999995,1.284384842000000
"9328",ORIENTAL PUBLISHERS,東方出版社,"Winchester House, Collyer Quay","21",Publishers and Advertisers,NA,NA,"1947",NA,N. V. Rajah,,,,"715",103.851782799999995,1.284384842000000
"9201",NORMAN LIM SPORTS HOUSE,魯曼運動用品社,Winchester House,No. 2,"Sports Dealers, Importers and Exporters",NA,NA,"1948",NA,Norman Lim Cheng Peng,林正邦,,,"705",103.851782799999995,1.284384842000000
"13401",UNIVERSAL LAUNCH SERVICE,友聯輪船公司,Winchester House,"48",Hiring of Launches,NA,NA,"1948",NA,Chen Sin Fu,陳進福,,,"1055",103.851782799999995,1.284384842000000
